"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.415613751E-1,6.655609589E0,5.417085114E0,-4.772525482E0,9.819315129E0
7.515773750E-1,6.461912384E0,5.360353088E0,-4.806355133E0,9.674231058E0
7.615943751E-1,6.441105652E0,5.343887329E0,-4.905598755E0,9.701024325E0
7.716113753E-1,6.478527832E0,5.342989197E0,-4.943470001E0,9.744575521E0
7.816283749E-1,6.432124329E0,5.366789703E0,-4.940775604E0,9.725529223E0
7.916453751E-1,6.325246582E0,5.368885345E0,-5.026098175E0,9.700275101E0
8.016623752E-1,6.302643585E0,5.319338379E0,-5.049449615E0,9.670347376E0
8.116793749E-1,6.338119812E0,5.293891296E0,-5.004842377E0,9.656370696E0
8.216953753E-1,6.446943512E0,5.295388184E0,-4.962480469E0,9.707235913E0
8.317123749E-1,6.613547058E0,5.317093048E0,-5.035079498E0,9.867244232E0
8.417293751E-1,6.718778229E0,5.310506744E0,-4.981640625E0,9.907583262E0
8.517457498E-1,6.651867371E0,5.379213867E0,-4.822820892E0,9.820533728E0
8.617627500E-1,6.579418030E0,5.476511536E0,-4.961732025E0,9.894427972E0
8.717797501E-1,6.612050171E0,5.398972778E0,-4.933291168E0,9.859283761E0
8.817957500E-1,6.440955963E0,5.327271881E0,-4.761448517E0,9.619622206E0
8.918127501E-1,6.362519073E0,5.378615112E0,-4.851261749E0,9.640844882E0
9.018297503E-1,6.496490479E0,5.411546631E0,-4.993466034E0,9.819568652E0
9.118467500E-1,6.529571686E0,5.421875153E0,-5.015021210E0,9.858117178E0
9.218637501E-1,6.343957672E0,5.444328461E0,-5.077890472E0,9.781180040E0
9.318807502E-1,6.166875916E0,5.446573792E0,-5.076094208E0,9.667587963E0
9.418977499E-1,6.252348175E0,5.341791687E0,-5.079237671E0,9.665673874E0
9.519137503E-1,6.468348999E0,5.244943085E0,-4.835095367E0,9.629491884E0
9.619307499E-1,6.452781372E0,5.260510712E0,-4.854255524E0,9.637175783E0
9.719477501E-1,6.428831177E0,5.289400635E0,-5.012925568E0,9.717872819E0
9.819647502E-1,6.362219696E0,5.278772736E0,-5.095553741E0,9.711227986E0
9.919817499E-1,6.300248566E0,5.274581451E0,-5.133574677E0,9.688546353E0
1.001998750E0,6.321654053E0,5.260959778E0,-5.244943085E0,9.754508481E0
1.012014750E0,6.426436157E0,5.257067871E0,-5.242098999E0,9.819136734E0
1.022031750E0,6.458170166E0,5.288801880E0,-5.281167755E0,9.877758859E0
1.032048750E0,6.358477478E0,5.367987213E0,-5.395380249E0,9.917441736E0
1.042065750E0,6.206094360E0,5.372028809E0,-5.235812073E0,9.735914379E0
1.052082750E0,6.074517975E0,5.383105774E0,-5.235812073E0,9.658743420E0
1.062099750E0,6.023324432E0,5.340594177E0,-5.389991455E0,9.687847608E0
1.072116750E0,6.154751129E0,5.253175964E0,-5.594765625E0,9.837592265E0
1.082132750E0,6.410718842E0,5.182223511E0,-5.528902588E0,9.925800744E0
1.092149750E0,6.558760986E0,5.177882538E0,-5.367837524E0,9.931842374E0
1.102166750E0,6.617888031E0,5.173990631E0,-5.141957245E0,9.849179933E0
1.112183750E0,6.422544250E0,5.254373474E0,-5.228477325E0,9.807878996E0
1.122200750E0,6.115981750E0,5.280718689E0,-5.494474182E0,9.771410808E0
1.132217750E0,5.893244934E0,5.282664642E0,-5.660029907E0,9.729995896E0
1.142233750E0,5.755082245E0,5.295837250E0,-5.653593292E0,9.650387605E0
1.152250750E0,5.663023682E0,5.333858185E0,-5.567821655E0,9.566635686E0
1.162267750E0,5.654042358E0,5.338648224E0,-5.493875427E0,9.521135807E0
1.172284750E0,5.842650146E0,5.272036743E0,-5.481002197E0,9.590219875E0
1.182301750E0,6.175557861E0,5.160219269E0,-5.487887878E0,9.740754137E0
1.192318750E0,6.436614990E0,5.097200317E0,-5.374124451E0,9.812883227E0
1.202334750E0,6.623576202E0,5.058580627E0,-5.218597870E0,9.833349551E0
1.212351750E0,6.785090332E0,4.994513855E0,-5.019661560E0,9.807120966E0
1.222368750E0,6.812183990E0,5.023403778E0,-5.080884247E0,9.871971483E0
1.232385750E0,6.818171539E0,5.157674561E0,-5.275329895E0,1.004580388E1
1.242402750E0,6.762487335E0,5.324278107E0,-5.463638306E0,1.019463172E1
1.252419750E0,6.591542816E0,5.399272156E0,-5.203479309E0,9.983825591E0
1.262436750E0,6.046226807E0,5.304070129E0,-4.573439484E0,9.252370899E0
1.272452750E0,5.592220917E0,5.098098450E0,-4.172273712E0,8.641262090E0
1.282469750E0,5.860313416E0,4.838987274E0,-4.130360870E0,8.649794916E0
1.292486750E0,6.426585846E0,4.641847229E0,-4.427043915E0,9.080003808E0
1.302503750E0,6.741680603E0,4.680317230E0,-4.730163574E0,9.472595957E0
1.312520750E0,6.858737183E0,4.875511322E0,-4.827910309E0,9.701628953E0
1.322537750E0,6.979535980E0,5.095404053E0,-4.661157074E0,9.818525868E0
1.332553750E0,7.088359680E0,5.267995148E0,-4.598437500E0,9.957019799E0
1.342570750E0,7.259154510E0,5.325325928E0,-4.840633850E0,1.022184702E1
1.352587750E0,7.463329926E0,5.300477600E0,-5.023852844E0,1.044200430E1
1.362604750E0,7.488178253E0,5.248984680E0,-4.790937195E0,1.032364921E1
1.372621750E0,7.063062286E0,5.147046661E0,-4.398603058E0,9.783999543E0
1.382638750E0,6.534062347E0,4.981640625E0,-4.124822388E0,9.193741013E0
1.392655750E0,6.340814209E0,4.860692139E0,-4.035757599E0,8.950954826E0
1.402671750E0,6.411467285E0,4.796026611E0,-4.089495850E0,8.990704105E0
1.412688750E0,6.690487061E0,4.824617157E0,-4.204307098E0,9.258279862E0
