"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.456662082E-1,2.909200287E0,4.959636383E0,-8.490493927E0,1.025426382E1
7.556822086E-1,2.714155884E0,5.023852844E0,-8.490942993E0,1.023239231E1
7.656992082E-1,2.787653046E0,4.984185333E0,-8.600365448E0,1.032372989E1
7.757162084E-1,3.101550293E0,4.775369568E0,-8.755592651E0,1.044433681E1
7.857322083E-1,3.558250580E0,4.551135864E0,-8.997938690E0,1.069284272E1
7.957492084E-1,3.941453705E0,4.402045898E0,-8.387358398E0,1.025967087E1
8.057652083E-1,3.956422577E0,4.451592865E0,-8.157137146E0,1.009994282E1
8.157822085E-1,3.819158020E0,4.645439758E0,-7.966433716E0,9.981490103E0
8.257982084E-1,3.555855560E0,4.799469452E0,-7.398365021E0,9.508670820E0
8.358152085E-1,3.126099243E0,4.828359375E0,-6.735094299E0,8.857033699E0
8.458312084E-1,2.771187286E0,4.836891632E0,-6.730753326E0,8.739453071E0
8.558482085E-1,2.885549469E0,4.937033386E0,-7.752528534E0,9.633399870E0
8.658652082E-1,3.472628632E0,5.141208801E0,-9.034313049E0,1.095947033E1
8.758812086E-1,4.390819244E0,5.370681610E0,-9.909093933E0,1.209601824E1
8.858982082E-1,5.207071838E0,5.502108307E0,-9.802515564E0,1.238854731E1
8.959142081E-1,5.631738739E0,5.574857025E0,-8.907826080E0,1.192245267E1
9.059312083E-1,5.462440796E0,5.667813721E0,-7.491172028E0,1.086646355E1
9.159472082E-1,4.490811310E0,5.612877960E0,-5.860313416E0,9.274430362E0
9.259642083E-1,3.160078583E0,5.338049469E0,-5.200934601E0,8.095096633E0
9.359812085E-1,2.663112030E0,5.060376892E0,-5.730383606E0,8.095484930E0
9.459972084E-1,3.390449524E0,4.953199768E0,-7.071295166E0,9.275373375E0
9.560142085E-1,4.621788940E0,5.017266541E0,-8.875343628E0,1.119399933E1
9.660302084E-1,5.681285706E0,5.157225494E0,-9.355694733E0,1.209971099E1
9.760472085E-1,5.813011780E0,5.125192108E0,-8.328081665E0,1.137609970E1
9.860632084E-1,4.782704315E0,4.922363892E0,-6.713838501E0,9.601018397E0
9.960802086E-1,3.167862396E0,4.531975708E0,-5.477858734E0,7.783385657E0
1.006096208E0,2.090253296E0,4.067940674E0,-5.608237610E0,7.236686345E0
1.016113208E0,2.338287506E0,3.930227051E0,-6.542893982E0,7.982714751E0
1.026130208E0,3.729494476E0,4.276906128E0,-7.287295990E0,9.236110541E0
1.036146208E0,5.049599304E0,4.731660461E0,-7.691605225E0,1.034639332E1
1.046163208E0,5.841153259E0,5.031936035E0,-7.216642914E0,1.056027398E1
1.056179208E0,6.387068024E0,5.352718964E0,-6.207890625E0,1.039154196E1
1.066196208E0,6.241271210E0,5.441783752E0,-5.808521118E0,1.011461291E1
1.076212208E0,5.654790802E0,5.266198883E0,-5.170847168E0,9.297697033E0
1.086229333E0,5.135520630E0,5.019511871E0,-4.725523224E0,8.596490057E0
1.096245334E0,5.194947052E0,4.843777313E0,-5.214705963E0,8.811515864E0
1.106262333E0,5.546565857E0,4.893773346E0,-5.848488007E0,9.429645928E0
1.116279333E0,5.526806946E0,4.909340973E0,-5.729635162E0,9.352857472E0
1.126295333E0,5.326373749E0,4.952151947E0,-5.755980377E0,9.274986594E0
1.136312333E0,5.043312378E0,4.885839844E0,-5.704936523E0,9.047249939E0
1.146328333E0,5.061275024E0,4.858895874E0,-5.515280914E0,8.924331771E0
1.156345333E0,5.383704529E0,5.049299927E0,-5.748346252E0,9.355382881E0
1.166361333E0,5.488187256E0,5.150339813E0,-5.944737854E0,9.590938833E0
1.176378333E0,5.391039276E0,5.175936584E0,-6.099815369E0,9.646832202E0
1.186395333E0,5.197491760E0,5.032834167E0,-6.076463928E0,9.448108500E0
1.196411334E0,5.017416229E0,4.784051514E0,-6.090684357E0,9.228111965E0
1.206428333E0,4.914729767E0,4.595593414E0,-6.285279694E0,9.207539755E0
1.216444334E0,4.727918243E0,4.526437225E0,-6.311924286E0,9.092977129E0
1.226461333E0,4.806205444E0,4.719385986E0,-6.174809418E0,9.137860045E0
1.236477334E0,5.335804138E0,5.167254639E0,-6.353837128E0,9.774588101E0
1.246494333E0,5.459147644E0,5.508844299E0,-6.780449982E0,1.030165814E1
1.256510333E0,4.957391052E0,5.495522003E0,-6.540349274E0,9.876874848E0
1.266527333E0,4.175267487E0,5.271138611E0,-6.058800659E0,9.051343893E0
1.276544333E0,3.407514038E0,5.061574402E0,-6.528224487E0,8.935793322E0
1.286560333E0,2.895279236E0,4.874912567E0,-7.090155945E0,9.078420882E0
1.296577333E0,2.590063934E0,4.698728943E0,-7.277117157E0,9.041179070E0
1.306593333E0,2.630928955E0,4.628524933E0,-7.071145477E0,8.851334847E0
1.316610334E0,2.718197479E0,4.722529449E0,-7.274871826E0,9.089259707E0
1.326626333E0,2.841091919E0,4.974156189E0,-8.005652161E0,9.844008310E0
1.336643334E0,3.553759918E0,5.288951569E0,-8.393345947E0,1.053804889E1
1.346659333E0,4.762646027E0,5.554798737E0,-8.679101715E0,1.135188939E1
1.356676334E0,5.730533295E0,5.597759399E0,-8.686286774E0,1.181632346E1
1.366693333E0,5.966293030E0,5.414839783E0,-8.071664886E0,1.140477604E1
1.376709333E0,5.271887054E0,5.037474518E0,-6.774761810E0,9.953207534E0
1.386726333E0,3.993844757E0,4.675826569E0,-6.070925446E0,8.641197012E0
1.396742333E0,3.158432007E0,4.527035980E0,-6.446195068E0,8.486647063E0
1.406759333E0,2.928210754E0,4.663252716E0,-7.626490631E0,9.406577670E0
1.416775333E0,3.404819641E0,4.943170624E0,-8.667575684E0,1.054298823E1
1.426792333E0,4.587659912E0,5.263504486E0,-9.366172943E0,1.168230707E1
1.436808333E0,6.005661163E0,5.484145660E0,-9.445507965E0,1.246440694E1
1.446825333E0,6.580016785E0,5.632786560E0,-9.350305939E0,1.274571012E1
1.456842334E0,5.686824188E0,5.572012939E0,-8.505911865E0,1.165065810E1
1.466858333E0,3.755839691E0,5.286257172E0,-7.098089447E0,9.614245705E0
1.476875334E0,2.216440887E0,4.980293427E0,-6.577771454E0,8.543009430E0
1.486891333E0,1.842219086E0,4.708608398E0,-7.200027466E0,8.798020216E0
1.496908333E0,2.358196106E0,4.486919403E0,-8.300089874E0,9.725483357E0
1.506924334E0,2.897225189E0,4.367767181E0,-9.285490723E0,1.066262828E1
1.516941333E0,2.928959198E0,4.347409515E0,-9.697434082E0,1.102356563E1
1.526958333E0,2.546803894E0,4.398153992E0,-9.197623444E0,1.050838930E1
1.536974333E0,2.231260071E0,4.535568237E0,-8.591683502E0,9.968296050E0
1.546991333E0,2.340383148E0,4.722529449E0,-8.150401154E0,9.706117486E0
1.557007333E0,2.738405457E0,4.738546143E0,-7.565118256E0,9.337221118E0
1.567024333E0,2.867137756E0,4.628375244E0,-7.198979645E0,9.025942845E0
1.577040333E0,2.744093628E0,4.610562286E0,-7.422015839E0,9.158256032E0
1.587057333E0,2.679577789E0,4.666246490E0,-7.892038422E0,9.551872271E0
1.597073333E0,2.841990051E0,4.703369293E0,-8.351433105E0,9.997250876E0
1.607090333E0,2.957549744E0,4.797074432E0,-8.833131409E0,1.047774948E1
1.617107333E0,2.996618500E0,4.931794281E0,-9.007668457E0,1.069768238E1
1.627123334E0,3.029550018E0,5.070855103E0,-8.818012848E0,1.061362781E1
1.637140333E0,3.335364075E0,5.050796814E0,-8.277037811E0,1.025400199E1
1.647156334E0,3.583847351E0,4.950655060E0,-7.857011261E0,9.954173663E0
1.657173333E0,3.684438171E0,4.987478485E0,-7.720345459E0,9.902209869E0
1.667189334E0,3.833677826E0,5.123545532E0,-7.448211365E0,9.819554828E0
1.677206333E0,4.001778259E0,5.359904022E0,-7.414082336E0,9.985560438E0
1.687222333E0,4.232298889E0,5.649102631E0,-7.865393829E0,1.056830802E1
1.697239333E0,4.641547852E0,5.899382172E0,-8.520880737E0,1.135570716E1
1.707256333E0,5.143603821E0,5.873186646E0,-8.057145081E0,1.121911621E1
1.717272333E0,5.281317444E0,5.636379089E0,-6.599176941E0,1.015924306E1
1.727289333E0,4.688400421E0,5.357658691E0,-5.835614777E0,9.205433449E0
1.737305333E0,3.710783386E0,5.152435455E0,-6.339317322E0,8.972427128E0
1.747322334E0,3.381767578E0,5.126389618E0,-7.270680542E0,9.517300984E0
1.757338333E0,3.768413544E0,5.276228027E0,-8.041876831E0,1.033011645E1
1.767355334E0,4.092339935E0,5.409750366E0,-7.850424957E0,1.037505745E1
1.777371333E0,4.295467529E0,5.505551147E0,-7.912096710E0,1.055288629E1
1.787388334E0,4.846022644E0,5.602998505E0,-8.353229370E0,1.116485417E1
1.797405333E0,5.124892731E0,5.327122192E0,-7.156018982E0,1.028840921E1
1.807421333E0,4.879403229E0,4.999453583E0,-5.896538086E0,9.141787210E0
1.817438333E0,4.474794617E0,4.821174316E0,-6.107000427E0,8.975687320E0
1.827454333E0,4.520898743E0,4.689298553E0,-6.426735535E0,9.150463158E0
1.837471333E0,4.675676880E0,4.482578430E0,-6.135740662E0,8.922038844E0
1.847487333E0,4.697082367E0,4.277355194E0,-6.072572021E0,8.788315036E0
1.857504333E0,4.630321198E0,4.219874725E0,-6.124663696E0,8.761205538E0
1.867520333E0,4.671036530E0,4.247567139E0,-5.798342285E0,8.572116548E0
1.877537333E0,4.703369293E0,4.351750488E0,-5.739364929E0,8.602309272E0
1.887554334E0,4.681514740E0,4.501289520E0,-5.830974426E0,8.728026717E0
1.897570333E0,4.817432098E0,4.715494080E0,-5.897436218E0,8.956745524E0
1.907587334E0,5.072052612E0,4.984185333E0,-6.359525299E0,9.539988636E0
1.917603333E0,5.223836975E0,5.104385376E0,-6.672674103E0,9.892815701E0
1.927620333E0,5.052593079E0,4.974006500E0,-6.508166199E0,9.624222813E0
1.937636334E0,4.742587738E0,4.799170074E0,-6.392307129E0,9.294394132E0
1.947653333E0,4.643942871E0,4.774321747E0,-6.450536041E0,9.271988393E0
1.957669334E0,4.557572479E0,4.787045288E0,-6.477779388E0,9.254668838E0
1.967686333E0,4.427642670E0,4.830305328E0,-6.268364868E0,9.067980332E0
1.977703333E0,4.346511383E0,4.945415955E0,-6.331982574E0,9.134730619E0
1.987719333E0,4.468358002E0,5.096751251E0,-6.680308228E0,9.516806952E0
1.997736333E0,4.575535126E0,5.235063629E0,-6.678661652E0,9.640847180E0
2.007752333E0,4.452940063E0,5.358856201E0,-6.759343872E0,9.707458193E0
2.017769333E0,4.276007996E0,5.476810913E0,-6.798113251E0,9.720804798E0
2.027785333E0,4.095034332E0,5.608836365E0,-6.588399353E0,9.572635874E0
2.037802333E0,3.795656891E0,5.682483215E0,-6.748416595E0,9.604100857E0
